historical_decision_id,historical_opportunity_id,historical_decision,historical_timestamp,current_opportunity_id,current_canonical_id,current_decision_id,current_decision_value,match_method,confidence,disposition
"hist_dec_1","j-f5873c10d6cd","CONSIDER","2026-08-16T00:00:00.000Z","j-f5873c10d6cd","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_2","j-4d8a0ef3fad4","PASS","2026-08-16T00:00:00.000Z","j-4d8a0ef3fad4","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_3","j-17cf4bf12862","PASS","2026-08-16T00:00:00.000Z","j-17cf4bf12862","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_4","j-84f95017a47d","PASS","2026-08-16T00:00:00.000Z","j-84f95017a47d","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_5","j-ea083c87120a","PASS","2026-08-16T00:00:00.000Z","j-ea083c87120a","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_6","j-9408a139f3ee","PASS","2026-08-16T00:00:00.000Z","j-9408a139f3ee","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_7","j-43f9a4509b88","PASS","2026-08-16T00:00:00.000Z","j-43f9a4509b88","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_8","j-ff2f56f34d52","PASS","2026-08-16T00:00:00.000Z","j-ff2f56f34d52","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_9","j-9297babc8d5f","PASS","2026-08-16T00:00:00.000Z","j-9297babc8d5f","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_10","j-fd09a5e8a65a","CONSIDER","2026-08-16T00:00:00.000Z","j-fd09a5e8a65a","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_11","j-6156d4030258","PASS","2026-08-16T00:00:00.000Z","j-6156d4030258","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_12","j-96855af6ba4d","PASS","2026-08-16T00:00:00.000Z","j-96855af6ba4d","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_13","j-7af0d3b48165","PASS","2026-08-16T00:00:00.000Z","j-7af0d3b48165","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_14","j-aa64c3fc5192","PURSUE","2026-08-16T00:00:00.000Z","j-aa64c3fc5192","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_15","j-4d221e646c80","CONSIDER","2026-08-16T00:00:00.000Z","j-4d221e646c80","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_16","j-97968062274f","PASS","2026-08-16T00:00:00.000Z","j-97968062274f","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_17","j-350936bfee90","PASS","2026-08-16T00:00:00.000Z","j-350936bfee90","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_18","j-43d807fbaa83","CONSIDER","2026-08-16T00:00:00.000Z","j-43d807fbaa83","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_19","j-90480f7492d5","PASS","2026-08-16T00:00:00.000Z","j-90480f7492d5","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
"hist_dec_20","j-a24a7b7b9fb5","PASS","2026-08-16T00:00:00.000Z","j-a24a7b7b9fb5","","","","NONE","PROVEN","DECISION_PRESENT_ONLY_HISTORICALLY"
