historical_job_hash,historical_verb,historical_raw_score,current_opportunity_id,current_canonical_id,current_version_id,current_document_id,match_method,confidence,disposition
"indeed:02c15dbf61c68f88","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:02cf36e0d562d5e5","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:03e81bccddf7b143","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:060023fac16237b4","SPARSE_SPEC","0","","a2a570825058c06f57ad73e394445f845920354e309a8803909d57300fd3fa1d","78e125a29c673436f929b1bde35c48decf6f714d44e31e1da224f2a8f931b632","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:0c19cc4ecc103951","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:0cf3160ad0c09c84","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:0ecd4933c5f16eab","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:15965de05d86d29a","SPARSE_SPEC","","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:1ad10ce75d9814cc","SPARSE_SPEC","0","","e7eb3e4dede422a32b2329165b47a9c2839b3bbd59770668624e7947a06a0b64","8bacc5e9ea2e62fb58c454923ccab2c23bb9301d2f09db88bf77967921120adf","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:1bf266417491e282","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:1c445b539795b49a","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:1ca8000e4b3cbdb6","SPARSE_SPEC","0","","8b03f6024d1f748539b2a98e8f5f24ff4da7a2e01d09ca675c70e27b73e7f18e","572539ee27e4427d6a0ce59847eaf379ed6c21ccdbc0d47dfce590147780a01f","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
"indeed:1fb1bc97fd700f78","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:22e06d0248785b2a","SPARSE_SPEC","0","","","","","NONE","UNKNOWN","HISTORICALLY_PRESENT_CURRENTLY_ABSENT"
"indeed:26ddc90359fe084d","SPARSE_SPEC","0","","91e3e5a636d33b04cbe29766343b40588239bbb5d997596ad57780ed9b58d02f","a2782b4e2d8b2c8b6f845ba480de5858fc5d53f0ce6bbc5610eef0a2d2d4ee6b","","LEVEL 1: Exact Native Source ID","PROVEN","SURVIVED_CANONICAL"
